DB Number,Class,Order,Family,Subfamily,Genus,Species,Sp. Auth,Sex,Country,Prov,Location 1,Location 2,Location 3,Latitude,Longitude,Day,Month,Year,Collector,Habitat,Elevation,Collection Data,Additional Info,Determiner,Determiner Date,Storage
CREC-12276,Insecta,Coleoptera,Coccinellidae,Coccinellinae,Psyllobora,vigintimaculata,(Say),,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from western redcedar,,,,C.G. Ratzlaff,2023,Pinned
CREC-12277,Insecta,Coleoptera,Coccinellidae,Coccinellinae,Psyllobora,vigintimaculata,(Say),,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12281,Insecta,Coleoptera,Coccinellidae,Scymninae,Scymnus,nebulosus,(Linnaeus),,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,C.G. Ratzlaff,2023,Pinned
CREC-12262,Insecta,Coleoptera,Curculionidae,Curculioninae,Curculio,uniformis,(LeConte),,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,New species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12302,Insecta,Coleoptera,Dermestidae,,Anthrenus,verbasci,(Linnaeus),,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,at yarrow,,,New genus and species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12303,Insecta,Coleoptera,Dermestidae,,Anthrenus,verbasci,(Linnaeus),,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,at yarrow,,,New genus and species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12304,Insecta,Coleoptera,Dermestidae,,Anthrenus,verbasci,(Linnaeus),,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,at yarrow,,,New genus and species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12256,Insecta,Coleoptera,Elateridae,,Idolus,columbiana,Brown,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,,C.G. Ratzlaff,2023,Pinned
CREC-12254,Insecta,Coleoptera,Elateridae,,Selatosomus,suckleyi,(LeConte),,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12290,Insecta,Coleoptera,Melyridae,,Listrus,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from western redcedar,,,,C.G. Ratzlaff,2023,Pinned
CREC-12291,Insecta,Coleoptera,Melyridae,,Listrus,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Douglas fir,,,,C.G. Ratzlaff,2023,Pinned
CREC-12286,Insecta,Coleoptera,Ptinidae,,Ernobius,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,New genus for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12287,Insecta,Coleoptera,Ptinidae,,Ernobius,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from Douglas fir,,,New genus for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12268,Insecta,Coleoptera,Scraptiidae,,Anaspis,duryi,Liljeblad,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,New species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12269,Insecta,Coleoptera,Scraptiidae,,Anaspis,duryi,Liljeblad,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from Douglas fir,,,New species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12260,Insecta,Coleoptera,Tenebrionidae,Alleculinae,Isomira,comstocki,Papp,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,,C.G. Ratzlaff,2023,Pinned
CREC-12261,Insecta,Coleoptera,Tenebrionidae,Alleculinae,Isomira,comstocki,Papp,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Douglas fir,,,,C.G. Ratzlaff,2023,Pinned
CREC-12517,Insecta,Diptera,Agromyzidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12518,Insecta,Diptera,Agromyzidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,,,Pinned
CREC-12487,Insecta,Diptera,Bombyliidae,,Bombylius,major,Linnaeus,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12493,Insecta,Diptera,Chamaemyiidae,,Chamaemyia,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12520,Insecta,Diptera,Chloropidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12514,Insecta,Diptera,Dolichopodidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,New family for Galiano,,,Pinned
CREC-12515,Insecta,Diptera,Dolichopodidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,New family for Galiano,,,Pinned
CREC-12527,Insecta,Diptera,Ephydridae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12524,Insecta,Diptera,Hybotidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9433,-123.5118,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12511,Insecta,Diptera,Lonchopteridae,,Lonchoptera,uniseta,Curran,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,New family for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12494,Insecta,Diptera,Muscidae,,Thricops,diaphanus,(Wiedeman),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,C.G. Ratzlaff,2023,Pinned
CREC-12495,Insecta,Diptera,Muscidae,,Thricops,diaphanus,(Wiedeman),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9433,-123.5118,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12505,Insecta,Diptera,Opomyzidae,,Opomyza,petrei,Mesnil,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12506,Insecta,Diptera,Opomyzidae,,Opomyza,petrei,Mesnil,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12507,Insecta,Diptera,Opomyzidae,,Opomyza,petrei,Mesnil,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,C.G. Ratzlaff,2023,Pinned
CREC-12508,Insecta,Diptera,Opomyzidae,,Opomyza,petrei,Mesnil,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,C.G. Ratzlaff,2023,Pinned
CREC-12496,Insecta,Diptera,Pediciidae,,Tricyphona,sp.,,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,New genus for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12497,Insecta,Diptera,Pediciidae,,Tricyphona,sp.,,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,New genus for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12489,Insecta,Diptera,Scathophagidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,,,Pinned
CREC-12490,Insecta,Diptera,Scathophagidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,,,Pinned
CREC-12491,Insecta,Diptera,Scathophagidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9433,-123.5118,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12492,Insecta,Diptera,Scathophagidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9433,-123.5118,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12512,Insecta,Diptera,Sepsidae,,Sepsis,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,New family for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12513,Insecta,Diptera,Sepsidae,,Sepsis,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,New family for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12483,Insecta,Diptera,Syrphidae,,Eupeodes,perplexus,(Osburn),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,,,,New species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12484,Insecta,Diptera,Syrphidae,,Syritta,pipiens,(Linnaeus),m,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12500,Insecta,Diptera,,,,Muscoidea,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,,,,,Pinned
CREC-12501,Insecta,Diptera,,,,Muscoidea,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,,,,,,,Pinned
CREC-12502,Insecta,Diptera,,,,Muscoidea,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12504,Insecta,Diptera,,,,Muscoidea,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9433,-123.5118,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12349,Insecta,Hemiptera,Anthocoridae,,Orius,tristicolor,(White),,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,at yarrow,,,,C.G. Ratzlaff,2023,Pinned
CREC-12378,Insecta,Hemiptera,Cicadellidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12379,Insecta,Hemiptera,Cicadellidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12380,Insecta,Hemiptera,Cicadellidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12381,Insecta,Hemiptera,Cicadellidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12382,Insecta,Hemiptera,Cicadellidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12383,Insecta,Hemiptera,Cicadellidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12384,Insecta,Hemiptera,Cicadellidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12373,Insecta,Hemiptera,Delphacidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12374,Insecta,Hemiptera,Delphacidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12353,Insecta,Hemiptera,Lygaeidae,,Kleidocerys,resedae,(Panzer),,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from western redcedar,,,,C.G. Ratzlaff,2023,Pinned
CREC-12354,Insecta,Hemiptera,Lygaeidae,,Kleidocerys,resedae,(Panzer),,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from western redcedar,,,,C.G. Ratzlaff,2023,Pinned
CREC-12355,Insecta,Hemiptera,Lygaeidae,,Kleidocerys,resedae,(Panzer),,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12347,Insecta,Hemiptera,Miridae,Bryocorinae,Dicyphus,discrepans,Knight,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,C.G. Ratzlaff,2023,Pinned
CREC-12337,Insecta,Hemiptera,Miridae,Mirinae,Pithanus,maerkelii,(Herrich-Schaffer),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12338,Insecta,Hemiptera,Miridae,Mirinae,Pithanus,maerkelii,(Herrich-Schaffer),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12340,Insecta,Hemiptera,Miridae,Mirinae,Pithanus,maerkelii,(Herrich-Schaffer),m,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12343,Insecta,Hemiptera,Miridae,Mirinae,Stenodema,trispinosa,Reuter,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12370,Insecta,Hemiptera,Oxycarenidae,,Crophius,bohemani,(Stal),m,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,in leaf litter,,,New family for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12328,Insecta,Hemiptera,Pentatomidae,,Banasa,dimidiata,(Say),m&f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,beat from western redcedar,,,,C.G. Ratzlaff,2023,Pinned
CREC-12359,Insecta,Hemiptera,Rhopalidae,,Harmostes,reflexulus,(Say),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,at yarrow,,,New genus and species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12360,Insecta,Hemiptera,Rhopalidae,,Harmostes,reflexulus,(Say),m,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,at yarrow,,,New genus and species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12364,Insecta,Hemiptera,Rhyparochromidae,,Malezonotus,sodalicius,(Uhler),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,,,,New genus and species for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12361,Insecta,Hemiptera,Rhyparochromidae,,Megalonotus,sabulicola,(Thomson),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,in leaf litter,,,,C.G. Ratzlaff,2023,Pinned
CREC-12362,Insecta,Hemiptera,Rhyparochromidae,,Megalonotus,sabulicola,(Thomson),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,in leaf litter,,,,C.G. Ratzlaff,2023,Pinned
CREC-12363,Insecta,Hemiptera,Rhyparochromidae,,Megalonotus,sabulicola,(Thomson),f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,in leaf litter,,,,C.G. Ratzlaff,2023,Pinned
CREC-12332,Insecta,Hemiptera,Scutelleridae,,Eurygaster,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12333,Insecta,Hemiptera,Scutelleridae,,Eurygaster,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,C.G. Ratzlaff,2023,Pinned
CREC-12445,Insecta,Hymenoptera,Andrenidae,,Andrena,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12446,Insecta,Hymenoptera,Andrenidae,,Andrena,sp.,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12439,Insecta,Hymenoptera,Apidae,,Bombus,melanopygus,Nylander,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12440,Insecta,Hymenoptera,Apidae,,Bombus,vancouverensis vancouverensis,Cresson,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12472,Insecta,Hymenoptera,Braconidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,,,Pinned
CREC-12476,Insecta,Hymenoptera,Braconidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,,,Pinned
CREC-12477,Insecta,Hymenoptera,Braconidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Douglas fir,,,,,,Pinned
CREC-12478,Insecta,Hymenoptera,Braconidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,black light trap,,,,Pinned
CREC-12397,Insecta,Hymenoptera,Chrysididae,,Chrysis,pattoni,Aaron,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12392,Insecta,Hymenoptera,Crabronidae,Pemphredoninae,Mimumesa,sp.,,m,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,New genus for Galiano,C.G. Ratzlaff,2023,Pinned
CREC-12391,Insecta,Hymenoptera,Crabronidae,Pemphredoninae,Passaloecus,cuspidatus,Smith,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9431,-123.5142,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12453,Insecta,Hymenoptera,Cynipidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,,,,Pinned
CREC-12454,Insecta,Hymenoptera,Cynipidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,,,,Pinned
CREC-12455,Insecta,Hymenoptera,Cynipidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,,,,Pinned
CREC-12456,Insecta,Hymenoptera,Cynipidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9439,-123.5164,27,5,2023,C.G. Ratzlaff,beat from Garry oak,,,,,,Pinned
CREC-12449,Insecta,Hymenoptera,Diapriidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,,,,Pinned
CREC-12457,Insecta,Hymenoptera,Eurytomidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,New family for Galiano,,,Pinned
CREC-12458,Insecta,Hymenoptera,Eurytomidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,swept from grasses,,,New family for Galiano,,,Pinned
CREC-12459,Insecta,Hymenoptera,Eurytomidae,,,,,,Canada,BC,Galiano I.,Hunterston Farm,,48.9447,-123.5136,27,5,2023,C.G. Ratzlaff,swept from grasses,,,New family for Galiano,,,Pinned
CREC-12400,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotus,vicinus,Mayr,q,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,"under dry, rotting log",,,,C.G. Ratzlaff,2023,Pinned
CREC-12401,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotus,vicinus,Mayr,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,"under dry, rotting log",,,,C.G. Ratzlaff,2023,Pinned
CREC-12402,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotus,vicinus,Mayr,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,"under dry, rotting log",,,,C.G. Ratzlaff,2023,Pinned
CREC-12403,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotus,vicinus,Mayr,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,"under dry, rotting log",,,,C.G. Ratzlaff,2023,Pinned
CREC-12404,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotus,vicinus,Mayr,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
CREC-12405,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotus,vicinus,Mayr,f,Canada,BC,Galiano I.,Hunterston Farm,,48.9464,-123.5127,27,5,2023,C.G. Ratzlaff,,,,,C.G. Ratzlaff,2023,Pinned
