scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,reportingStatus,observation,firstReported,firstReportedBy,Collection.List,firstReportedCollectionNumber,firstReportedGBIF,firstObservediNat,firstObservedBy,firstObservedID,notes,ID,statsCode
Aegires albopunctatus,"MacFarland, 1905",,salt-and-pepper nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Aegiridae,,,Aegires,albopunctatus,NA,,NA,native,unlisted,NA,confirmed,observed,1996-05-29,Charlie Gibbs,PMLS,,NA,2018-06-18,Karin Fletcher,iNat:68752645,,48981,MOL
Aeolidia loui,"Kienberger, Carmona, Pola, Padula, Gosliner & Cervera, 2016",,shag-rug nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,Aeolidia,loui,NA,,NA,native,unlisted,NA,new 2016,observed,,,,,NA,2016-04-01,Karolle Wall,iNat:14385958,,498117,MOL
Aeolidia papillosa,"(Linnaeus, 1761)",,papillate sea slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Aeolidioidea,Aeolidiidae,,,Aeolidia,papillosa,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2016-02-07,Peter Luckham,iNat:2763439,,498116,MOL
Aequorea victoria s.lat.,,,water jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,Aequorea,victoria,NA,,NA,native,unlisted,NA,confirmed,observed,1985-07-29,Andy Lamb,PMLS,,NA,2017-05-26,Karolle Wall,iNat:7648048,,325995,CNI
Aglaja ocelligera,"(Bergh, 1894)",,spotted aglaja,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Aglajidae,,,Aglaja,ocelligera,NA,,NA,native,unlisted,NA,confirmed,observed,1996-05-29,Charlie Gibbs,PMLS,,NA,2015-05-20,Karolle Wall,iNat:32171691,,49842,MOL
Aglantha digitale,"(O. F. Müller, 1776)",,pink helmit,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Trachymedusae,,,Rhopalonematidae,,,Aglantha,digitale,NA,,NA,native,unlisted,NA,reported,unobserved,1861,Alexander Agassiz,"Agassiz, A. 1861. Notes on the described species of Holconoti, found on the western coast of North America. March 20, 1861. Proceedings of the Boston Society of Natural History, v.8, pp. 122–134.",,NA,,,,,256085,CNI
Aglaophenia sp.,,,ostrich-plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Aglaopheniidae,,,Aglaophenia,,NA,,NA,,,NA,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,NA,,,,,51218,CNI
Agonopsis vulsa,"(Jordan & Gilbert, 1880)",,northern spearnose poacher,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Agonidae,Agoninae,,Agonopsis,vulsa,NA,,NA,native,SNR,NA,confirmed,observed,1995-02-25,Charlie Gibbs,PMLS,,NA,2008-05-22,Jackson W.F. Chu,iNat:116447577,,180027,FIS
Alcyonidium pedunculatum,"Robertson, 1902",,smooth leather bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Alcyonidiina,Alcyonidioidea,Alcyonidiidae,,,Alcyonidium,pedunculatum,NA,,NA,native,unlisted,NA,reported,unobserved,1994-02-26,Charlie Gibbs,PMLS,,NA,,,,,873864,LOP
Alcyonium sp.,,,orange soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Malacalcyonacea,,,Alcyoniidae,,,Alcyonium,,NA,,NA,,,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2016-02-07,Peter Luckham,iNat:2763485,,338004,CNI
Aldisa albomarginata,"Millen in Millen & Gosliner, 1985",,white-rimmed nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,albomarginata,NA,,NA,native,unlisted,NA,reported,unobserved,2009-03-19,Andy Lamb,PMLS,,NA,,,,,50094,MOL
Aldisa cooperi,"Robilliard & Baba, 1972",,Cooper's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,cooperi,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,NA,1978-03-19,Neil McDaniel,iNat:100326124,,50097,MOL
Aldisa sanguinea,"(J.G. Cooper, 1863)",,blood-spot dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,sanguinea,NA,,NA,native,unlisted,NA,confirmed,observed,2013-10-10,Andy Lamb,PMLS,,NA,2016-05-06,Karolle Wall,iNat:3705820,,50098,MOL
Aldisa tara,"Millen in Millen & Gosliner, 1985",,Tara's dorid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Chromodoridoidea,Cadlinidae,,,Aldisa,tara,NA,,NA,native,unlisted,NA,confirmed,observed,2018-06-19,Andy Lamb,PMLS,,NA,1978-03-19,Neil McDaniel,iNat:100326772,,50100,MOL
Alia carinata,"(Hinds, 1844)",,carinate dovesnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,Alia,carinata,NA,,NA,native,unlisted,NA,new 2017,observed,,,,,NA,2017-05-26,Karolle Wall,iNat:7674348,reported as Mitrella carinata,129933,MOL
Alitta williami,"Villalobos-Guerrero & Bakken, 2018",,giant piling sea-nymph worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,,Alitta,williami,NA,,NA,native,unlisted,NA,new 2017,observed,,,,,NA,2017-04-17,Kristian Sigvardsen,iNat:5796200,,1115984,WOR
Amathia sp.,,,tubeworm fuzz,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Vesicularina,Vesicularioidea,Vesiculariidae,,,Amathia,,NA,,NA,,,NA,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,NA,,,,,195986,LOP
Ammodytes personatus,"Girard, 1856",,Pacific sand lance,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Trachinoidei,,Ammodytidae,,,Ammodytes,personatus,NA,,NA,native,SNR,NA,confirmed,observed,1993-08-16,Andy Lamb,PMLS,,NA,2011-05-20,Karolle Wall,iNat:4028615,,201784,FIS
Ampelisca hancocki,"J.L. Barnard, 1954",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,hancocki,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,,RBCM,976-01146-018,1898315672,,,,,295404,ART
Ampelisca lobata,"Holmes, 1908",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,lobata,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,,RBCM,976-01146-017,1898267968,,,,,295407,ART
Ampelisca unsocalae,"J.L. Barnard, 1960",,amphipod,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,unsocalae,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,,RBCM,976-01146-019,1898311199,,,,,1265117,ART
Amphilectus digitatus,"(Miklucho-Maclay, 1870)",,glove sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Esperiopsidae,,,Amphilectus,digitatus,NA,,NA,native,unlisted,NA,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,NA,,,,,459874,POR
Amphiodia periercta,"H.L. Clark, 1911",,long-armed burrowing brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,Amphiuroidea,Amphiuridae,,,Amphiodia,periercta,NA,,NA,native,unlisted,NA,reported,unobserved,1975-06-17,Philip Lambert,RBCM,975-00224-007,1898321940,,,,,957349,ECH
Amphisbetia greenei,"(Murray, 1860)",,fibre-optic hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Amphisbetia,greenei,NA,,NA,native,unlisted,NA,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,NA,,,,,1353331,CNI
Amphissa columbiana,"Dall, 1916",,wrinkled amphissa,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,Amphissa,columbiana,NA,,NA,native,unlisted,NA,confirmed,observed,1981-05-31,Andy Lamb,RBCM,986-00191-015,NA,2022-02-12,Andrew Simon,iNat:106714614,,117643,MOL
Amphissa versicolor,"Dall, 1871",,variegated amphissa,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,Buccinoidea,Columbellidae,,,Amphissa,versicolor,NA,,NA,native,unlisted,NA,reported,unobserved,2008-11-12,Andy Lamb,PMLS,,NA,,,,,129932,MOL
Ampithoe lacertosa,"Bate, 1858",,sea lettuce sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,,Ampithoe,lacertosa,NA,,NA,native,unlisted,NA,reported,unobserved,2009-02-14,Andy Lamb,PMLS,,NA,,,,,260501,ART
Anarrhichthys ocellatus,"Ayres, 1855",,wolf-eel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Anarhichadidae,,,Anarrhichthys,ocellatus,NA,,NA,native,SNR,NA,reported,unobserved,1994-02-26,Charlie Gibbs,PMLS,,NA,,,,,60635,FIS
Anoplarchus purpurescens,"Gill, 1861",,high cockscomb,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Stichaeidae,Xiphisterinae,,Anoplarchus,purpurescens,NA,,NA,native,SNR,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2015-08-28,Andrew Simon,iNat:2580652,,67316,FIS
Antho (Plocamia) karykina,"(Laubenfels, 1927)",,bright red sponge,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Poecilosclerida,,,Microcionidae,Ophlitaspongiinae,,Antho,karykina,NA,,NA,native,unlisted,NA,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,NA,,,,reported as Plocamia karykina,345142,POR
Anthopleura artemisia,"(Pickering in Dana, 1846)",,burrowing anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Anthopleura,artemisia,NA,,NA,native,unlisted,NA,confirmed,observed,1996-09-29,Charlie Gibbs,PMLS,,NA,2009-07-16,Karolle Wall,iNat:97205560,,51658,CNI
Anthopleura elegantissima,"(Brandt, 1835)",,pink-tipped anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Actiniidae,,,Anthopleura,elegantissima,NA,,NA,native,unlisted,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2013-10-13,Bridget Spencer,iNat:2580645,,52564,CNI
Antiopella fusca,"(O'Donoghue, 1924)",,white-and-orange-tipped nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Proctonotoidea,Janolidae,,,Antiopella,fusca,NA,,NA,native,unlisted,NA,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,NA,2009-11-15,Karin Fletcher,iNat:68751511,reported as Janolus fuscus,886884,MOL
Apata pricei,"(MacFarland, 1966)",,Price's aeolid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Fionoidea,Apataidae,,,Apata,pricei,NA,,NA,native,unlisted,NA,confirmed,observed,2013-05-17,Andy Lamb,PMLS,,NA,2014-04-08,Karin Fletcher,iNat:68751807,reported as Flabellina pricei,631469,MOL
Aphrocallistes vastus,"Schulze, 1886",,cloud sponge,Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,Aphrocallistidae,,,Aphrocallistes,vastus,NA,,NA,native,unlisted,NA,confirmed,observed,2011-10-30,Jackson W.F. Chu,RBCM,016-00066-001,NA,2007-10-23,Jackson W.F. Chu,iNat:8459011,,424651,POR
Aphrodita negligens,"Moore, 1905",,sea mouse,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Aphroditidae,,,Aphrodita,negligens,NA,,NA,native,unlisted,NA,reported,unobserved,1914-06-26,,RBCM,974-00265-001,1898322906,,,,,733687,WOR
Aplidium californicum,"(Ritter & Forsyth, 1917)",,California sea pork,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polyclinidae,,,Aplidium,californicum,NA,,NA,native,unlisted,NA,reported,unobserved,1994-10-07,Andy Lamb,PMLS,,NA,,,,,131232,TUN
Aplidium kottae,"Brunetti, 2007",,red ascidian,Animalia,Chordata,Tunicata,,Ascidiacea,,,Aplousobranchia,,,Polyclinidae,,,Aplidium,kottae,NA,,NA,native,unlisted,NA,reported,unobserved,1985-07-29,Andy Lamb,PMLS,,NA,,,,,799283,TUN
Aplysilla polyraphis,"Laubenfels, 1930",,slippery purple sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,,Aplysilla,polyraphis,NA,,NA,native,unlisted,NA,reported,unobserved,2008-11-12,Andy Lamb,PMLS,,NA,,,,,213993,POR
Aplysilla sp.,,,slippery rose sponge,Animalia,Porifera,,,Demospongiae,Keratosa,,Dendroceratida,,,Darwinellidae,,,Aplysilla,,NA,,NA,,,NA,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,NA,,,,undescribed species,63646,POR
Apodichthys flavidus,"Girard, 1854",,penpoint gunnel,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Zoarcoidei,,Pholidae,Apodichthyinae,,Apodichthys,flavidus,NA,,NA,native,SNR,NA,confirmed,observed,1982-06-09,K.D. Genereux,CMN,CMNFI 1985-0087.5,NA,2013-06-22,Karolle Wall,iNat:4015148,,67408,FIS
Apomatus geniculatus,"(Moore & Bush, 1904)",,pearl-topped calcareous worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Apomatus,geniculatus,NA,,NA,native,unlisted,NA,reported,unobserved,2007-10-14,Andy Lamb,PMLS,,NA,,,,,939557,WOR
Apostichopus californicus,"(Stimpson, 1857)",,giant sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,Stichopodidae,,,Apostichopus,californicus,NA,,NA,native,unlisted,NA,confirmed,observed,1986-04-08,,RBCM,986-00191-032,NA,2009-07-21,Karolle Wall,iNat:97178767,,202640,ECH
Arctonoe fragilis,"(Baird, 1863)",,fragile ruffled scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,fragilis,NA,,NA,native,unlisted,NA,confirmed,observed,1975-06-18,T. Kessler,RBCM,975-00227-001,1898315965,2019-05-04,Isabelle M. Côté,iNat:129151052,,69914,WOR
Arctonoe pulchra,"(Johnson, 1897)",,red commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,pulchra,NA,,NA,native,unlisted,NA,confirmed,observed,1975-06-18,T. Kessler,RBCM,975-00227-003,1898314750,2019-05-04,Norah Brown,iNat:24535513,,465156,WOR
Arctonoe vittata,"(Grube, 1855)",,red-banded commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,,Arctonoe,vittata,NA,,NA,native,unlisted,NA,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-002,1898294448,,,,,122163,WOR
Argulus pugettensis,"Dana, 1853",,surfperch fish louse,Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,Arguloidea,Argulidae,,,Argulus,pugettensis,NA,,NA,native,unlisted,NA,reported,unobserved,2007-09-29,Andy Lamb,PMLS,,NA,,,,,873865,ART
Armina californica,"(J.G. Cooper, 1863)",,striped nudibranch,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,Arminoidea,Arminidae,,,Armina,californica,NA,,NA,native,unlisted,NA,confirmed,observed,1975-06-17,Philip Lambert,RBCM,975-00224-003,1898310345,2013-10-13,Peter Luckham,iNat:2975918,,47499,MOL
Artedius fenestralis,"Jordan & Gilbert, 1883",,padded sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Oligocottinae,,Artedius,fenestralis,NA,,NA,native,SNR,NA,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,NA,2013-10-13,Peter Luckham,iNat:2976334,,117527,FIS
Artedius harringtoni,"(Starks, 1896)",,scalyhead sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Oligocottinae,,Artedius,harringtoni,NA,,NA,native,SNR,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2015-01-01,Peter Luckham,iNat:2797281,,117528,FIS
Artedius lateralis,"(Girard, 1854)",,smoothhead sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Oligocottinae,,Artedius,lateralis,NA,,NA,native,SNR,NA,confirmed,observed,1985-12-08,Charlie Gibbs,PMLS,,NA,2020-08-13,Andrew Simon,iNat:56373896,,117529,FIS
Ascidia columbiana,"(Huntsman, 1912)",,sea blisters,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,,Ascidia,columbiana,NA,,NA,native,unlisted,NA,reported,unobserved,2011-11-18,Andy Lamb,PMLS,,NA,,,,,428617,TUN
Ascidia paratropa,"(Huntsman, 1912)",,glassy tunicate,Animalia,Chordata,Tunicata,,Ascidiacea,,,Phlebobranchia,,,Ascidiidae,,,Ascidia,paratropa,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2023-07-09,"Dave ""Zeuss"" Cochrane",iNat:172112408,,415129,TUN
Asemichthys taylori,"Gilbert, 1912",,spinynose sculpin,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,Psychrolutidae,Radulininae,,Asemichthys,taylori,NA,,NA,native,SNR,NA,confirmed,observed,1973-09-20,Andy Lamb,PMLS,,NA,2013-10-13,Peter Luckham,iNat:2975888,,172639,FIS
Atalodoris jannae,"(Millen, 1987)",,Janna's adalaria,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Onchidoridoidea,Onchidorididae,,,Atalodoris,jannae,NA,,NA,native,unlisted,NA,confirmed,observed,2018-06-19,Andy Lamb,PMLS,,NA,2009-11-15,Karin Fletcher,iNat:68751512,reported as Knoutsodonta jannae,1364199,MOL
Aulorhynchus flavidus,"Gill, 1861",,tubesnout,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Gasterosteoidei,,Aulorhynchidae,,,Aulorhynchus,flavidus,NA,,NA,native,SNR,NA,confirmed,observed,1994-02-27,Charlie Gibbs,PMLS,,NA,2009-11-13,Karolle Wall,iNat:97205567,,117568,FIS
Aurelia labiata,"Chamisso & Eysenhardt, 1821",,moon jelly,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Ulmaridae,Aureliinae,,Aurelia,labiata,NA,,NA,native,unlisted,NA,confirmed,observed,1996-09-28,Charlie Gibbs,PMLS,,NA,2015-06-21,Karolle Wall,iNat:3706338,,130235,CNI
Axinopsida serricata,"(Carpenter, 1864)",,lenticular axinopsid,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Lucinida,,Thyasiroidea,Thyasiridae,,,Axinopsida,serricata,NA,,NA,native,unlisted,NA,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03315,1898280832,,,,,977317,MOL
Balaenoptera acutorostrata,"Lacépède, 1804",,northern minke whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,,Balaenoptera,acutorostrata,NA,,NA,native,S4N (2006),NA,reported,unobserved,2004-10-04,Amy Rowley,BCCSN,,NA,,,,,41550,MAM
Balaenoptera physalus,"(Linnaeus, 1758)",,fin whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,,Balaenoptera,physalus,NA,,NA,native,S2N (2006),NA,reported,unobserved,2007-05-17,Amy Rowley,BCCSN,,NA,,,,,41562,MAM
Balanophyllia (Balanophyllia) elegans,"Verrill, 1864",,orange cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Dendrophylliidae,,,Balanophyllia,elegans,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,NA,2007-10-23,Jackson W.F. Chu,iNat:59908582,,51799,CNI
Balanus crenatus,"Bruguière, 1789",,common acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,Balanoidea,Balanidae,,,Balanus,crenatus,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2019-01-25,awworld,iNat:19886394,,117672,ART
Balanus glandula,"Darwin, 1854",,common acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,Balanoidea,Balanidae,,,Balanus,glandula,NA,,NA,native,unlisted,NA,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,NA,2015-08-05,Andrew Simon,iNat:2599301,,81610,ART
Balanus nubilus,"Darwin, 1854",,giant acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,Balanoidea,Balanidae,,,Balanus,nubilus,NA,,NA,native,unlisted,NA,confirmed,observed,1986-04-08,,RBCM,986-00191-002,NA,2008-11-09,Neil McDaniel,iNat:130989161,,49127,ART
