id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,Id_2,Type,Site_Serie
"164093486",2023-05-27 13:25:15-07:00,5/27/23,2023/05/27 20:25:15,America/Vancouver,"425556",tinnes,,2023/05/27 22:49:08,2023/06/01 04:18:42,research,CC-BY-NC,https://www.inaturalist.org/observations/164093486,https://inaturalist-open-data.s3.amazonaws.com/photos/283882448/medium.jpg,,,,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94384591,-123.5120017,"9",,,,"9",,open,"0",,,watercress,Nasturtium officinale,watercress,Plantae,"78174","11",pond,
"164093559",2023-05-27 13:27:26-07:00,5/27/23,2023/05/27 20:27:26,America/Vancouver,"425556",tinnes,,2023/05/27 22:49:30,2023/05/29 15:54:10,research,CC-BY-NC,https://www.inaturalist.org/observations/164093559,https://inaturalist-open-data.s3.amazonaws.com/photos/283882527/medium.jpg,,,,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94381662,-123.5119417,"579",,,,"579",,,"0",,,broad-leaved dock,Rumex obtusifolius,broad-leaved dock,Plantae,"63371","11",pond,
"164138181",2023-05-27 14:39:49-07:00,5/27/23,2023/05/27 21:39:49,America/Vancouver,"1556046",gavinh,,2023/05/28 03:56:50,2023/05/28 04:54:21,research,CC-BY-NC,https://www.inaturalist.org/observations/164138181,https://inaturalist-open-data.s3.amazonaws.com/photos/283967315/medium.jpg,,,@RBCM,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94383833,-123.51203,"16",,,,"16",,open,"0",,,Northern Red-legged Frog,Rana aurora,Northern Red-legged Frog,Amphibia,"25545","11",pond,
"164138618",2023-05-27 14:53:29-07:00,5/27/23,2023/05/27 21:53:29,America/Vancouver,"1556046",gavinh,,2023/05/28 04:00:16,2023/05/28 04:53:45,research,CC-BY-NC,https://www.inaturalist.org/observations/164138618,https://inaturalist-open-data.s3.amazonaws.com/photos/283967903/medium.jpg,,,@RBCM,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94396167,-123.5122383,"15",,,,"15",,open,"0",,,Northern Red-legged Frog,Rana aurora,Northern Red-legged Frog,Amphibia,"25545","11",pond,
"164888021",5/26/23 12:54,5/26/23,2023/05/26 19:54:00,America/Vancouver,"37277",chlorophilia,Andrew Simon,2023/05/31 22:52:35,2023/05/31 22:53:44,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164888021,https://inaturalist-open-data.s3.amazonaws.com/photos/285351812/medium.jpeg,,,sampled by Frank Lomer,"0","0","0",,"Galiano Island, BC V0N, Canada",48.9437,-123.5118,"50",,,,"50",,open,"0",,,Wolffia columbiana,Wolffia columbiana,Columbian Watermeal,Plantae,"79528","11",pond,
"164487821",2023-05-27 06:38:42-07:00,5/27/23,2023/05/27 13:38:42,America/Vancouver,"104905",joanseptembre,,2023/05/29 19:33:03,2023/05/30 19:36:40,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/164487821,https://static.inaturalist.org/photos/284604117/medium.jpg,,,,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94685833,-123.5143367,"11",,,,"11",,,"0",,,ater-group Arion Slugs,Arion,ater-group Arion Slugs,Mollusca,"549548",5b,western redcedar / red alder - salmonberry,"06, 11"
"164888733",5/27/23 13:05,5/27/23,2023/05/27 20:05:00,America/Vancouver,"37277",chlorophilia,Andrew Simon,2023/05/31 22:57:39,2023/05/31 23:53:36,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164888733,https://inaturalist-open-data.s3.amazonaws.com/photos/285353231/medium.jpg,,,collected by Rene Zich,"0","0","0",,"Galiano Island, BC V0N, Canada",48.9466,-123.515,"50",,,,"50",,,"0",,,Pleurotus,Pleurotus,Oyster Mushrooms,Fungi,"48496",5b,western redcedar / red alder - salmonberry,"06, 11"
"165063929",2023-05-27 14:32:26-07:00,5/27/23,2023/05/27 21:32:26,America/Vancouver,"5474931",zecklo,Zeke Gilmore,2023/06/02 00:39:38,2023/06/09 07:00:08,research,CC-BY-NC,https://www.inaturalist.org/observations/165063929,https://inaturalist-open-data.s3.amazonaws.com/photos/285681501/medium.jpg,,,,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94599167,-123.5159917,"17",,,,"17",,open,"0",,,Red Alder,Alnus rubra,Red Alder,Plantae,"56034",5b,western redcedar / red alder - salmonberry,"06, 11"
"163931939",2023-05-26 21:12:31-07:00,5/26/23,2023/05/27 04:12:31,America/Vancouver,"3416545",jared251,Jared Connoy,2023/05/27 04:19:54,2023/06/12 16:52:57,research,,https://www.inaturalist.org/observations/163931939,,https://static.inaturalist.org/sounds/713755.m4a?1685161195,,,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94438318,-123.5171093,"93",,,,"93",,open,"0",,,Swainson's Thrush,Catharus ustulatus,Swainson's Thrush,Aves,"12878",2b,Douglas-fir - arbutus,"02"
"163932068",5/26/23 13:13,5/26/23,2023/05/26 20:13:00,America/Vancouver,"4023976",kathq,,2023/05/27 04:21:19,2023/05/29 04:16:23,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/163932068,https://inaturalist-open-data.s3.amazonaws.com/photos/283594616/medium.jpg,,,,"1","0","0",,"Galiano Island, BC V0N, Canada",48.9432,-123.514,,,,,,,,"0",,,Narrow-winged Damselflies,Enallagma,Bluets,Insecta,"50175",2b,Douglas-fir - arbutus,"02"
"163934079",5/26/23 13:16,5/26/23,2023/05/26 20:16:00,America/Vancouver,"4023976",kathq,,2023/05/27 04:44:54,2023/05/29 03:57:08,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/163934079,https://inaturalist-open-data.s3.amazonaws.com/photos/283598499/medium.jpg,,,,"0","0","0",,"Capital, CA-BC, CA",48.9432,-123.514,"100",,,,"100",,open,"0",,,Sitka Bumble Bee,Bombus sitkensis,Sitka Bumble Bee,Insecta,"142269",2b,Douglas-fir - arbutus,"02"
"164022982",2023-05-27 09:50:55-07:00,5/27/23,2023/05/27 16:50:55,America/Vancouver,"6950255",isaacbibb,,2023/05/27 16:56:19,2023/05/27 16:58:18,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164022982,https://inaturalist-open-data.s3.amazonaws.com/photos/283755049/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94433333,-123.51757,"4",,,,"4",,,"0",,,,Achillea,yarrows,Plantae,"52818",2b,Douglas-fir - arbutus,"02"
"164023667",2023-05-27 09:49:45-07:00,5/27/23,2023/05/27 16:49:45,America/Vancouver,"6950255",isaacbibb,,2023/05/27 16:59:28,2023/05/27 16:59:43,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164023667,https://inaturalist-open-data.s3.amazonaws.com/photos/283755968/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94436667,-123.5175467,"4",,,,"4",,open,"0",,,,Cerastium arvense,field chickweed,Plantae,"50851",2b,Douglas-fir - arbutus,"02"
"164023831",2023-05-27 09:28:39-07:00,5/27/23,2023/05/27 16:28:39,America/Vancouver,"6950255",isaacbibb,,2023/05/27 17:00:28,2023/05/29 04:50:44,research,CC-BY-NC,https://www.inaturalist.org/observations/164023831,https://inaturalist-open-data.s3.amazonaws.com/photos/283784613/medium.jpg,,,,"1","0","0","3","Galiano Island, Capital, BC, CA",48.942445,-123.51107,"8",,,,"8",,,"0",,,Broad-leaved Stonecrop,Sedum spathulifolium,Broad-leaved Stonecrop,Plantae,"58886",2b,Douglas-fir - arbutus,"02"
"164039537",2023-05-27 11:15:03-07:00,5/27/23,2023/05/27 18:15:03,America/Vancouver,"6950255",isaacbibb,,2023/05/27 18:16:06,2023/05/27 18:16:27,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164039537,https://inaturalist-open-data.s3.amazonaws.com/photos/283784689/medium.jpg,,,,"0","0","0","3","Trincomali Channel, Capital, BC, CA",48.94355,-123.5157,"4",,,,"4",,,"0",,,,Aira caryophyllea,Silver Hairgrass,Plantae,"52694",2b,Douglas-fir - arbutus,"02"
"164040294",2023-05-27 11:18:34-07:00,5/27/23,2023/05/27 18:18:34,America/Vancouver,"6950255",isaacbibb,,2023/05/27 18:20:01,2023/05/27 18:20:10,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164040294,https://inaturalist-open-data.s3.amazonaws.com/photos/283786064/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94359667,-123.5155717,"8",,,,"8",,,"0",,,,Sanicula crassicaulis,Pacific Sanicle,Plantae,"53201",2b,Douglas-fir - arbutus,"02"
"164040580",2023-05-27 11:20:11-07:00,5/27/23,2023/05/27 18:20:11,America/Vancouver,"4796730",lsourimd,,2023/05/27 18:20:54,2023/05/27 18:21:03,needs_id,,https://www.inaturalist.org/observations/164040580,https://static.inaturalist.org/photos/283786458/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.9436129,-123.5158101,"4",,,,"4",,,"0",,,,Sonchus asper,prickly sowthistle,Plantae,"53269",2b,Douglas-fir - arbutus,"02"
"164088457",2023-05-27 10:42:18-07:00,5/27/23,2023/05/27 17:42:18,America/Vancouver,"6950255",isaacbibb,,2023/05/27 22:20:14,2023/05/27 22:20:29,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164088457,https://inaturalist-open-data.s3.amazonaws.com/photos/283873326/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94385833,-123.51638,"3",,,,"3",,,"0",,,,Lonicera hispidula,Pink Honeysuckle,Plantae,"53416",2b,Douglas-fir - arbutus,"02"
"164089159",2023-05-27 10:38:12-07:00,5/27/23,2023/05/27 17:38:12,America/Vancouver,"6950255",isaacbibb,,2023/05/27 22:24:13,2023/06/12 01:25:55,research,CC-BY-NC,https://www.inaturalist.org/observations/164089159,https://inaturalist-open-data.s3.amazonaws.com/photos/283874573/medium.jpg,,,,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94384667,-123.516455,"4",,,,"4",,,"0",,,Maltese star-thistle,Centaurea melitensis,Maltese star-thistle,Plantae,"57922",2b,Douglas-fir - arbutus,"02"
"164089456",2023-05-27 11:28:08-07:00,5/27/23,2023/05/27 18:28:08,America/Vancouver,"6950255",isaacbibb,,2023/05/27 22:25:39,2023/05/27 22:26:37,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164089456,https://inaturalist-open-data.s3.amazonaws.com/photos/283875232/medium.jpg,,,,"0","0","0","3","Trincomali Channel, Capital, BC, CA",48.94352,-123.51545,"4",,,,"4",,,"0",,,,Trifolium microcephalum,small-headed clover,Plantae,"58911",2b,Douglas-fir - arbutus,"02"
"164089828",2023-05-27 10:36:04-07:00,5/27/23,2023/05/27 17:36:04,America/Vancouver,"6950255",isaacbibb,,2023/05/27 22:28:15,2023/05/28 14:13:33,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164089828,https://inaturalist-open-data.s3.amazonaws.com/photos/283876433/medium.jpg,,,,"0","0","0","3","Trincomali Channel, Capital, BC, CA",48.943845,-123.516595,"3",,,,"3",,,"0",,,,Lonicera hispidula,Pink Honeysuckle,Plantae,"53416",2b,Douglas-fir - arbutus,"02"
"164090212",2023-05-27 10:41:52-07:00,5/27/23,2023/05/27 17:41:52,America/Vancouver,"6950255",isaacbibb,,2023/05/27 22:30:45,2023/05/27 22:31:03,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164090212,https://inaturalist-open-data.s3.amazonaws.com/photos/283876486/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94383833,-123.5164117,"4",,,,"4",,,"0",,,,Brodiaea,Brodiaeas,Plantae,"51753",2b,Douglas-fir - arbutus,"02"
"164090817",2023-05-27 10:31:56-07:00,5/27/23,2023/05/27 17:31:56,America/Vancouver,"6950255",isaacbibb,,2023/05/27 22:33:52,2023/05/28 01:02:04,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164090817,https://inaturalist-open-data.s3.amazonaws.com/photos/283877543/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94394167,-123.516725,"3",,,,"3",,open,"0",,,,Sambucus racemosa,red-berried elder,Plantae,"57824",2b,Douglas-fir - arbutus,"02"
"164090974",2023-05-27 10:25:23-07:00,5/27/23,2023/05/27 17:25:23,America/Vancouver,"6950255",isaacbibb,,2023/05/27 22:34:58,2023/05/27 22:35:10,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164090974,https://inaturalist-open-data.s3.amazonaws.com/photos/283877925/medium.jpg,,,,"0","0","0","3","Trincomali Channel, Capital, BC, CA",48.94401667,-123.5169133,"3",,,,"3",,,"0",,,,Camassia leichtlinii,Leichtlin's Camassia,Plantae,"62218",2b,Douglas-fir - arbutus,"02"
"164091081",2023-05-27 10:10:52-07:00,5/27/23,2023/05/27 17:10:52,America/Vancouver,"6950255",isaacbibb,,2023/05/27 22:35:22,2023/06/20 04:47:53,research,CC-BY-NC,https://www.inaturalist.org/observations/164091081,https://inaturalist-open-data.s3.amazonaws.com/photos/283878026/medium.jpg,,,,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94426667,-123.5174783,"4",,,,"4",,,"0",,,Tower Mustard,Turritis glabra,Tower Mustard,Plantae,"79460",2b,Douglas-fir - arbutus,"02"
"164091306",2023-05-27 10:05:51-07:00,5/27/23,2023/05/27 17:05:51,America/Vancouver,"6950255",isaacbibb,,2023/05/27 22:37:00,2023/05/27 22:37:24,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/164091306,https://inaturalist-open-data.s3.amazonaws.com/photos/283878560/medium.jpg,,,,"0","0","0","3","Galiano Island, Capital, BC, CA",48.94436333,-123.51757,"4",,,,"4",,,"0",,,,Senecio,groundsels,Plantae,"53207",2b,Douglas-fir - arbutus,"02"
"164136618",2023-05-27 17:15:37-07:00,5/27/23,2023/05/28 00:15:37,America/Vancouver,"1556046",gavinh,,2023/05/28 03:44:12,2023/05/31 02:02:12,research,CC-BY-NC,https://www.inaturalist.org/observations/164136618,https://inaturalist-open-data.s3.amazonaws.com/photos/283964274/medium.jpg,,,@RBCM,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94314167,-123.5138867,"15",,,,"15",,open,"0",,,Rufous Hummingbird,Selasphorus rufus,Rufous Hummingbird,Aves,"6363",2b,Douglas-fir - arbutus,"02"
"164136777",2023-05-27 16:03:31-07:00,5/27/23,2023/05/27 23:03:31,America/Vancouver,"1556046",gavinh,,2023/05/28 03:45:06,2023/05/28 22:48:08,research,CC-BY-NC,https://www.inaturalist.org/observations/164136777,https://inaturalist-open-data.s3.amazonaws.com/photos/283964879/medium.jpg,,,@RBCM,"3","0","0","3","Galiano Island, Capital, BC, CA",48.94290833,-123.5134667,"421",,,,"421",,open,"0",,,Northern Alligator Lizard,Elgaria coerulea,Northern Alligator Lizard,Reptilia,"32064",2b,Douglas-fir - arbutus,"02"
"164136965",2023-05-27 16:01:42-07:00,5/27/23,2023/05/27 23:01:42,America/Vancouver,"1556046",gavinh,,2023/05/28 03:46:38,2023/05/28 13:56:53,research,CC-BY-NC,https://www.inaturalist.org/observations/164136965,https://inaturalist-open-data.s3.amazonaws.com/photos/283965041/medium.jpg,,,@RBCM,"2","0","0","3","Galiano Island, Capital, BC, CA",48.94286333,-123.5135583,"27",,,,"27",,open,"0",,,Northern Alligator Lizard,Elgaria coerulea,Northern Alligator Lizard,Reptilia,"32064",2b,Douglas-fir - arbutus,"02"
"164139608",2023-05-27 13:54:50-07:00,5/27/23,2023/05/27 20:54:50,America/Vancouver,"1556046",gavinh,,2023/05/28 04:08:40,2023/05/28 13:52:21,research,CC-BY-NC,https://www.inaturalist.org/observations/164139608,https://inaturalist-open-data.s3.amazonaws.com/photos/283969665/medium.jpg,,,@RBCM,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94293667,-123.51362,"12",,,,"12",,,"0",,,harsh indian paintbrush,Castilleja hispida,harsh indian paintbrush,Plantae,"128204",2b,Douglas-fir - arbutus,"02"
"164140072",2023-05-27 13:51:49-07:00,5/27/23,2023/05/27 20:51:49,America/Vancouver,"1556046",gavinh,,2023/05/28 04:12:52,2023/05/28 14:54:49,research,CC-BY-NC,https://www.inaturalist.org/observations/164140072,https://inaturalist-open-data.s3.amazonaws.com/photos/283971315/medium.jpg,,,@RBCM,"2","0","0","3","Galiano Island, Capital, BC, CA",48.94306167,-123.5137633,"4",,,,"4",,open,"0",,,Western Terrestrial Garter Snake,Thamnophis elegans,Western Terrestrial Garter Snake,Reptilia,"28398",2b,Douglas-fir - arbutus,"02"
"164140190",2023-05-27 13:42:15-07:00,5/27/23,2023/05/27 20:42:15,America/Vancouver,"1556046",gavinh,,2023/05/28 04:14:04,2023/05/28 07:36:55,research,CC-BY-NC,https://www.inaturalist.org/observations/164140190,https://inaturalist-open-data.s3.amazonaws.com/photos/283971486/medium.jpg,,,@RBCM,"1","0","0","3","Galiano Island, Capital, BC, CA",48.94326667,-123.51452,"4",,,,"4",,,"0",,,Western Black Widow,Latrodectus hesperus,Western Black Widow,Arachnida,"47382",2b,Douglas-fir - arbutus,"02"
